Pool,Pyth Price Token0,Pyth Price Token1,Uniswap Token0 Price,Uniswap Token1 Price,Price Diff Token0,Price Diff Token1,Uniswap TVL,Weighted Pyth TVL,Deviation (%)
USDC/WETH,0.99995009,3734.82928793,3941.450991391426,0.0002537136709765294,3940.4510413014264,3734.829034216329,515357994.56794757,500512897.5548224,2.880540744414109
WBTC/WETH,97451.73821702,3734.82928793,0.03864480470986989,25.876699533290687,97451.6995722153,3708.9525883967094,400178981.2690826,381504017.85038126,4.666652746098176
USDC/WETH,0.99995009,3734.82928793,3931.437618725096,0.0002543598797643607,3930.437668635096,3734.8290335701204,360013842.41404116,349207123.9307902,3.001750824575932
WETH/USDT,3734.82928793,1.00052172,0.00025429870922582946,3932.3833103374195,3734.829033631291,3931.3827886174195,230166092.63931414,224242201.78879243,2.573746107687917
WBTC/WETH,97451.73821702,3734.82928793,0.038548144367924184,25.941585941348126,97451.69966887563,3708.887701988652,182993328.6020367,174477150.05631685,4.653819136893429
PEPE/WETH,2.43334e-05,3734.82928793,160099095.38367438,6.246131482526614e-09,160099095.38365006,3734.8292879237542,137948456.07942563,135963193.7289749,1.4391334320608007
WBTC/USDC,97451.73821702,0.99995009,9.807118528105644e-06,101966.74967618253,97451.73820721288,101965.74972609253,131977881.68151924,128848003.89823925,2.371516911320649
LINK/WETH,21.906,3734.82928793,133.20902078900062,0.007506999106193958,111.30302078900061,3734.821780930894,107785891.26356828,91225438.25317052,15.3642121582523
WBTC/USDT,97451.73821702,1.00052172,9.804687140625581e-06,101992.0356108574,97451.73820721531,101991.03508913741,104379162.7837207,102890904.36402652,1.4258194643483946
WETH/USDT,3734.82928793,1.00052172,0.00025366258991998595,3942.2446972390962,3734.8290342674104,3941.244175519096,101405578.16341318,98675707.12355009,2.6920324200153556
PEPE/WETH,2.43334e-05,3734.82928793,158987949.8516664,6.289784860632435e-09,158987949.85164207,3734.8292879237106,94289401.06283006,93281655.56602854,1.068779189858265
UNI/WETH,16.22797773,3734.82928793,222.3362732372112,0.004497691651659094,206.1082955072112,3734.8247902383487,82130819.90028122,76701277.6291831,6.610846303117852
DAI/USDC,0.99993511,0.99995009,0.9999155312791812,1.0000844758563863,1.9578720818813622e-05,0.00013438585638625433,71785972.779132,71782066.2302544,0.00544193903956189
DAI/WETH,0.99993511,3734.82928793,3929.182718063371,0.0002545058531899691,3928.182782953371,3734.829033424147,59399730.33839263,57682725.820282996,2.8905931194099375
USDC/USDT,0.99995009,1.00052172,1.000236695173975,0.9997633608373728,0.0002866051739749409,0.0007583591626272312,53674542.653781,53690877.51316415,0.03043315988459616
MNT/WETH,1.0992022,3734.82928793,3092.455700289526,0.0003233676071435322,3091.3564980895258,3734.828964562393,36082480.15016395,32819272.692524243,9.043744897965054
WETH/WEETH,3734.82928793,3916.28790528,1.0547005705349701,0.9481363980800498,3733.7745873594654,3915.33976888192,35319349.469444714,33839814.01893574,4.189022370836536
SHIB/WETH,2.66658e-05,3734.82928793,138524583.21491385,7.2189352733770795e-09,138524583.21488717,3734.829287922781,26793684.107816875,25457705.24424948,4.986170838588152
WETH/WEETH,3734.82928793,3916.28790528,1.0550072810484963,0.9478607569477356,3733.774280648952,3915.3400445230523,26418591.74293383,25221541.25609779,4.531091204572679
WETH/SOL,3734.82928793,216.47,0.05742649398982948,17.41356524702875,3734.7718614360106,199.05643475297126,25246181.313665055,24209706.51204885,4.105471590886452
DAI/WETH,0.99993511,3734.82928793,3931.4572303350446,0.0002543586109201495,3930.4572952250446,3734.829033571389,21529095.60721409,20907705.08110008,2.8862825334185906
WSTETH/WETH,4430.96126998,3734.82928793,0.8430430577291053,1.1861790341927347,4430.118226922271,3733.6431088958075,20996189.0164836,19967331.54199422,4.90021057479359
