Pool,Expected Price,Uniswap Price,Price Deviation (%),Liquidity Token0,Liquidity Token1,TVL (USD)
USDC/WETH,0.0002984780353227093,1.7280072917462373e-08,99.99421060484443,1105018.11062,20194.77372105156,487181545.7473392
USDC/WETH,0.0002984780353227093,1.7286683073475717e-08,99.99420839022383,1105018.11062,20194.77372105156,348681768.9562724
WBTC/WETH,27.955104718993145,5.290234888792357e-05,99.9998107596111,4.71945315,20194.77372105156,333527671.1129592
WETH/USDT,3356.3147029241604,57921242.01209879,1725639.304530514,20194.77372105156,790077.941672,222848558.19642
WBTC/USDC,93658.83385277771,3060.0083688513228,96.73281393438941,4.71945315,1105018.11062,205853490.72763395
WBTC/WETH,27.955104718993145,5.2859839383386145e-05,99.99981091167459,4.71945315,20194.77372105156,150221115.0647685
WBTC/USDT,93826.12899014127,3063.21544620594,96.73522132994763,4.71945315,790077.941672,109321861.39978193
PEPE/WETH,5.410134145117122e-09,7.355150024518416e-05,1359413.4292846976,0.0,20194.77372105156,101641860.34694745
WETH/USDT,3356.3147029241604,57922967.518009014,1725690.7152611206,20194.77372105156,790077.941672,97833962.00539221
LINK/WETH,0.006342496167755885,0.07968875250377834,1156.4257099421154,246802.29338448253,20194.77372105156,96680113.78290749
DAI/USDC,1.0002792005584011,999984.608435146,99970449.01040722,1072846.4131321546,1105018.11062,71802057.49427162
PEPE/WETH,5.410134145117122e-09,7.391112134582037e-05,1366060.6045855319,0.0,20194.77372105156,70266234.57060851
UNI/WETH,0.003901490099678154,0.06252969683502714,1502.7132002766177,1153.992004331888,20194.77372105156,67732289.97355144
DAI/WETH,0.0002985613705568418,0.017274126750149124,5685.7875980176,1072846.4131321546,20194.77372105156,54173705.25336875
WBTC/CBBTC,0.9990465478315779,0.9995380063022011,0.04919274999648107,4.71945315,0.0,47290852.34541268
TURBO/WETH,2.864645688520726e-06,0.0016915336658460207,58948.61716841191,0.0,20194.77372105156,45131006.004903324
WETH/METH,3182.186609364092,0.974368422353388,99.9693805379142,20194.77372105156,0.0,36152305.585732035
USDC/USDT,1.0017862184535262,1.000941014576181,0.08436968504617365,1105018.11062,790077.941672,32866971.28561
MNT/WETH,0.00035850158384532343,0.018944309358310398,5184.302834902949,0.0,20194.77372105156,32314318.26803054
WETH/SOL,17.39178155643091,131661.6608914431,756933.777501414,20194.77372105156,0.0,24710861.258127507
SHIB/WETH,6.488626987134351e-09,8.069313749965545e-05,1243508.8198574798,0.0,20194.77372105156,21697237.647760227
DAI/WETH,0.0002985613705568418,0.01727850737448826,5687.25484219958,1072846.4131321546,20194.77372105156,19679959.829962213
APE/WETH,0.0003633530286713252,0.01907825835746618,5150.612173849146,0.0,20194.77372105156,19379912.510676034
AAVE/WETH,0.09865590919777922,0.31458760079533377,218.87355086320085,436.2022724855537,20194.77372105156,19055264.80312598
ENA/WETH,0.0002826907721735587,0.016837210852160476,5856.052517279632,0.0,20194.77372105156,15810436.682904588
DAI/USDC,1.0002792005584011,999859.2425010909,99957915.91624859,1072846.4131321546,1105018.11062,15410002.004792951
